time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6391.188274	92.245422	1.287519	-0.163167	105
6393.203728	92.569847	1.284379	-0.161992	107
6395.220973	92.806076	1.281085	-0.163144	109
6397.236954	92.866112	1.280922	-0.162023	111
6399.251682	92.708870	1.283484	-0.161299	113
6401.262866	92.201950	1.283208	-0.159362	115
6403.273690	91.727654	1.279616	-0.159408	117
6405.287300	91.634377	1.273335	-0.159797	119
6407.305410	91.877876	1.269168	-0.160178	121
6409.323395	91.988548	1.267813	-0.159396	123
6411.338536	91.970253	1.272370	-0.157962	125
6413.350066	91.629646	1.275447	-0.157287	127
6415.361035	91.117088	1.271468	-0.157170	129
6417.373830	90.781204	1.266304	-0.157344	131
6419.388290	90.694046	1.261974	-0.156299	133
6421.404158	90.734299	1.259836	-0.155217	135
6423.419321	90.873329	1.259131	-0.154822	137
6425.434613	90.829506	1.257793	-0.154351	139
6427.449292	90.795937	1.258396	-0.153956	141
6429.463440	90.567093	1.259523	-0.154145	143
6431.476753	90.128639	1.256163	-0.153080	145
6433.489444	89.629929	1.255549	-0.152438	147
6435.502974	89.222771	1.253654	-0.152333	149
6437.517761	88.917763	1.250605	-0.151535	151
6439.534030	89.336403	1.247032	-0.151063	153
6441.551523	90.135117	1.242696	-0.149703	155
6443.568685	90.975868	1.242033	-0.149966	157
6445.583962	90.794746	1.242211	-0.149949	159
6447.596395	90.163902	1.244175	-0.149384	161
6449.607355	89.298721	1.242964	-0.148844	163
6451.619175	88.321442	1.240970	-0.147807	165
6453.632302	88.083359	1.239248	-0.146837	167
6455.647174	88.102562	1.236171	-0.146447	169
6457.663024	88.313583	1.236125	-0.146300	171
6459.678589	88.676643	1.233274	-0.145538	173
6461.693818	88.749763	1.231775	-0.145414	175
6463.708547	88.670105	1.230900	-0.145473	177
6465.722782	88.486588	1.230038	-0.144729	179
6467.736286	88.410110	1.228998	-0.144165	181
6469.749711	87.978539	1.224744	-0.142985	183
6471.762865	87.884293	1.224434	-0.142387	185
6473.776148	87.584488	1.220816	-0.142110	187
6475.790850	87.782883	1.217225	-0.141753	189
6477.806564	87.711319	1.215624	-0.141513	191
6479.823737	88.047562	1.210831	-0.141218	193
6481.840868	88.134079	1.207258	-0.139925	195
6483.856880	88.132256	1.210726	-0.139554	197
6485.871111	88.051788	1.212164	-0.139060	199
6487.883534	87.657150	1.213708	-0.138597	201
6489.895082	87.383743	1.211946	-0.137980	203
6491.907334	87.078590	1.209474	-0.136980	205
6493.920226	86.795189	1.205854	-0.136858	207
6495.933951	86.507751	1.204207	-0.136072	209
6497.948156	86.394180	1.202320	-0.135082	211
6499.962467	86.223465	1.200040	-0.134756	213
6501.976942	86.098137	1.199317	-0.134020	215
6503.991290	85.924805	1.198075	-0.133740	217
6506.005880	85.748695	1.195396	-0.132975	219
6508.021044	85.733231	1.196210	-0.132794	221
6510.036521	85.989731	1.194498	-0.131957	223
6512.052846	86.309532	1.190427	-0.131252	225
6514.069316	86.649017	1.189453	-0.131100	227
6516.085695	87.180763	1.187417	-0.130843	229
6518.100780	87.177574	1.186325	-0.130952	231
6520.114547	86.972206	1.188043	-0.130117	233
6522.127241	86.469681	1.187257	-0.129610	235
6524.139181	85.940781	1.186318	-0.128689	237
6526.151396	85.315468	1.184905	-0.128083	239
6528.164351	84.989754	1.182941	-0.127194	241
6530.177885	84.707596	1.178690	-0.126583	243
6532.191787	84.544106	1.176957	-0.125712	245
6534.206159	84.547867	1.174388	-0.125179	247
6536.220129	84.533699	1.170718	-0.124365	249
6538.234442	84.374641	1.170770	-0.124134	251
6540.248633	84.435280	1.170965	-0.123801	253
6542.263032	84.444000	1.167886	-0.123174	255
6544.277302	84.320969	1.166771	-0.122502	1
6546.292202	84.496964	1.164314	-0.121927	3
6548.307425	84.438667	1.161116	-0.121446	5
6550.323391	84.613457	1.160339	-0.121038	7
6552.339691	84.730759	1.160364	-0.120946	9
6554.355936	84.795403	1.159095	-0.120651	11
6556.371881	84.821281	1.157047	-0.119849	13
6558.386759	84.756470	1.156442	-0.119389	15
6560.400036	84.694778	1.154928	-0.118582	17
6562.412993	84.481293	1.153634	-0.117908	19
6564.425245	84.147926	1.151758	-0.117118	21
6566.437996	83.918159	1.148033	-0.116125	23
6568.451028	83.721901	1.143873	-0.115799	25
6570.464175	83.518814	1.144428	-0.115328	27
6572.478019	83.401520	1.140988	-0.115273	29
6574.491945	83.154907	1.140420	-0.114470	31
6576.506640	83.173416	1.141285	-0.113411	33
6578.521514	82.952927	1.137126	-0.112740	35
6580.536493	83.167854	1.136525	-0.111851	37
6582.551856	83.216560	1.133287	-0.111916	39
6584.567623	83.432671	1.133887	-0.110876	41
6586.583755	83.762428	1.129362	-0.110537	43
6588.599425	83.907448	1.129778	-0.110262	45
6590.614963	84.117279	1.129722	-0.109972	47
6592.629034	84.011009	1.130633	-0.109857	49
6594.642748	83.778938	1.132169	-0.109529	51
6596.655570	83.451965	1.132767	-0.109036	53
6598.667987	83.146568	1.130935	-0.108618	55
6600.680788	82.713966	1.130969	-0.108125	57
6602.693580	82.465790	1.130323	-0.107771	59
6604.707121	82.275200	1.129375	-0.106877	61
6606.720258	82.153786	1.126222	-0.105734	63
6608.734177	82.066734	1.124630	-0.105261	65
6610.748031	81.935936	1.120491	-0.104269	67
6612.762813	81.918877	1.118369	-0.103469	69
6614.776976	82.010414	1.117720	-0.103006	71
6616.791865	81.991020	1.114866	-0.102776	73
6618.806575	82.000450	1.114189	-0.102197	75
6620.821778	82.047623	1.112812	-0.101959	77
6622.837895	82.142555	1.111465	-0.101479	79
6624.853551	82.287781	1.109448	-0.100929	81
6626.869303	82.228615	1.106167	-0.100312	83
6628.884600	82.225891	1.105025	-0.099925	85
6630.899829	82.222321	1.103962	-0.098806	87
6632.913698	82.138466	1.100658	-0.098035	89
6634.927416	81.933098	1.099831	-0.097255	91
6636.939882	81.825317	1.097652	-0.096572	93
6638.952839	81.720261	1.097046	-0.095875	95
6640.965745	81.415070	1.095635	-0.095402	97
6642.978865	81.298157	1.096456	-0.095177	99
6644.992346	81.174515	1.094580	-0.095118	101
6647.006233	80.950325	1.094833	-0.094299	103
6649.020685	80.979317	1.093501	-0.094046	105
6651.034974	80.864151	1.089871	-0.093232	107
6653.049858	80.945572	1.090420	-0.092762	109
6655.065103	81.012115	1.088424	-0.091713	111
6657.080239	81.053917	1.087609	-0.091268	113
6659.095592	81.262314	1.085387	-0.090750	115
6661.111237	81.333992	1.082593	-0.090179	117
6663.126412	81.494476	1.080068	-0.089591	119
6665.141043	81.523796	1.078248	-0.089251	121
6667.155008	81.409126	1.079126	-0.088406	123
6669.168787	81.355331	1.079796	-0.088395	125
6671.181946	81.018234	1.076960	-0.087691	127
6673.194984	80.880608	1.077638	-0.087667	129
6675.207672	80.661034	1.074443	-0.086865	131
6677.220645	80.447342	1.072839	-0.086363	133
6679.234011	80.302498	1.070532	-0.085565	135
6681.247641	80.103119	1.069400	-0.085012	137
6683.261496	80.171097	1.067175	-0.084177	139
6685.275614	79.988007	1.065782	-0.083881	141
6687.289897	80.022713	1.063338	-0.083057	143
6689.304714	80.003784	1.062138	-0.082470	145
6691.319562	79.998505	1.060562	-0.082058	147
6693.334573	80.035255	1.058875	-0.081773	149
6695.349685	79.998329	1.058068	-0.081324	151
6697.365640	80.029221	1.057881	-0.081095	153
6699.380497	80.087799	1.055569	-0.080393	155
6701.395626	79.932777	1.056899	-0.079870	157
6703.410190	79.982407	1.053991	-0.079316	159
6705.424303	79.832741	1.052292	-0.077999	161
6707.437685	79.877350	1.053212	-0.077767	163
6709.451016	79.688843	1.050881	-0.076935	165
6711.464189	79.609749	1.052346	-0.076391	167
6713.476819	79.490189	1.049105	-0.075943	169
6715.490322	79.355873	1.048300	-0.075537	171
6717.503496	79.274696	1.048687	-0.074996	173
6719.517343	79.163971	1.044700	-0.074231	175
6721.531048	79.108360	1.043698	-0.073774	177
6723.545621	79.080086	1.040710	-0.073269	179
