crossing time (s)	slope (V/s)	crossing number
6391.203255	85.081331	5993
6392.202145	90.067093	5994
6393.191789	84.618552	5995
6394.213984	90.459302	5996
6395.209994	85.688411	5997
6396.226313	90.688885	5998
6397.227614	86.064223	5999
6398.228492	87.104704	6000
6399.252555	84.277812	6001
6400.250187	84.110168	6002
6401.260729	86.985517	6003
6402.270366	83.464693	6004
6403.287010	85.376417	6005
6404.299240	86.680019	6006
6405.281709	84.248125	6007
6406.315963	89.790184	6008
6407.311719	84.003877	6009
6408.311586	89.360047	6010
6409.326500	85.117829	6011
6410.319825	86.352010	6012
6411.344763	83.903180	6013
6412.342809	83.989877	6014
6413.360248	86.191438	6015
6414.354134	82.711307	6016
6415.372702	84.344296	6017
6416.378063	84.951679	6018
6417.384765	84.353675	6019
6418.392257	86.717052	6020
6419.400940	84.484720	6021
6420.418029	87.119475	6022
6421.417570	83.641059	6023
6422.420805	87.743917	6024
6423.403448	84.133008	6025
6424.421208	86.410469	6026
6425.427759	81.685177	6027
6426.444022	85.554963	6028
6427.437840	81.027852	6029
6428.461233	86.145030	6030
6429.470254	81.762178	6031
6430.479877	86.579173	6032
6431.483648	81.998671	6033
6432.486479	85.549606	6034
6433.479371	81.633994	6035
6434.490195	84.262182	6036
6435.494297	81.586189	6037
6436.518019	84.505334	6038
6437.522826	82.906457	6039
6438.539515	84.189757	6040
6439.541088	84.200032	6041
6440.550014	83.491754	6042
6441.556201	83.417291	6043
6442.553361	82.903775	6044
6443.563397	81.754585	6045
6444.567299	82.499726	6046
6445.595293	80.504479	6047
6446.599836	83.302322	6048
6447.602350	80.822720	6049
6448.617822	84.006993	6050
6449.606620	80.327339	6051
6450.630683	84.298747	6052
6451.619605	80.265030	6053
6452.624402	82.820591	6054
6453.634659	80.968168	6055
6454.658155	81.509369	6056
6455.636420	80.703400	6057
6456.662917	81.729170	6058
6457.669104	81.407371	6059
6458.675918	81.168334	6060
6459.687588	81.430357	6061
6460.676466	81.134538	6062
6461.704345	81.501623	6063
6462.702660	79.485056	6064
6463.708719	80.974520	6065
6464.722873	80.123479	6066
6465.725438	81.070346	6067
6466.738775	79.836667	6068
6467.729462	80.354583	6069
6468.752183	80.013310	6070
6469.752916	79.950165	6071
6470.774892	79.840814	6072
6471.768638	80.098388	6073
6472.779905	80.470962	6074
6473.776797	79.532873	6075
6474.794297	81.159424	6076
6475.794049	78.719452	6077
6476.799272	82.190397	6078
6477.797144	78.158614	6079
6478.826985	81.964427	6080
6479.813183	77.121882	6081
6480.826810	81.841547	6082
6481.833201	77.253104	6083
6482.837756	81.022929	6084
6483.857745	77.532962	6085
6484.864495	79.296414	6086
6485.870738	78.465641	6087
6486.872356	77.949847	6088
6487.893227	79.403033	6089
6488.894468	77.447706	6090
6489.894597	79.040544	6091
6490.914644	78.087273	6092
6491.916171	79.067794	6093
6492.921117	78.989310	6094
6493.926850	78.488515	6095
6494.936402	79.078145	6096
6495.934944	78.074084	6097
6496.963826	79.470025	6098
6497.938878	77.836516	6099
6498.958094	79.502014	6100
6499.957013	77.644726	6101
6500.980996	78.456651	6102
6501.973550	76.269166	6103
6502.991176	78.065805	6104
6503.996544	76.939729	6105
6505.011547	78.147904	6106
6506.009308	77.371793	6107
6507.022659	77.624101	6108
6508.034862	77.441211	6109
6509.047148	77.312575	6110
6510.036905	76.987889	6111
6511.055910	77.240675	6112
6512.055225	76.774592	6113
6513.072658	76.502305	6114
6514.060222	77.172224	6115
6515.074810	77.033589	6116
6516.086799	76.452250	6117
6517.082011	77.253046	6118
6518.097062	75.816616	6119
6519.100607	78.016911	6120
6520.110977	75.193293	6121
6521.114129	77.585383	6122
6522.136074	74.286680	6123
6523.138317	77.521212	6124
6524.139324	74.120277	6125
6525.145197	77.175203	6126
6526.144225	74.090160	6127
6527.167966	77.080256	6128
6528.167379	74.105618	6129
6529.167500	76.824641	6130
6530.186555	74.327269	6131
6531.200954	76.146213	6132
6532.194573	74.472636	6133
6533.218480	75.768462	6134
6534.222661	74.876915	6135
6535.239722	75.468091	6136
6536.214421	74.204019	6137
6537.233923	75.790176	6138
6538.230337	74.353297	6139
6539.241467	75.323602	6140
6540.246654	73.583521	6141
6541.259874	74.678221	6142
6542.270102	73.609162	6143
6543.293032	75.804992	6144
6544.278593	73.453783	6145
6545.293658	75.123583	6146
6546.302857	72.844734	6147
6547.307716	74.982902	6148
6548.305489	72.887181	6149
6549.326151	75.252497	6150
6550.322430	71.602100	6151
6551.339915	75.078760	6152
6552.336008	71.445327	6153
6553.359667	74.939285	6154
6554.342248	71.935931	6155
6555.350888	74.266247	6156
6556.369835	71.903225	6157
6557.360371	73.976734	6158
6558.395339	72.207459	6159
6559.393003	73.018941	6160
6560.393577	72.870107	6161
6561.403231	72.725018	6162
6562.414005	73.276864	6163
6563.415388	72.414421	6164
6564.421957	72.991857	6165
6565.450005	71.567921	6166
6566.450246	72.091932	6167
6567.453867	72.354855	6168
6568.462909	72.136103	6169
6569.459783	71.654386	6170
6570.454180	72.325061	6171
